user_id,image_no,desktop_rating,gender,qualification,mobile_rating,age
u62,5,5,0,1,5,22
u63,5,6,0,1,5,22
u64,5,6,0,1,6,21
u65,5,4,0,1,4,22
u66,5,7,0,1,8,24
u67,5,9,0,1,4,25
u68,5,3,0,1,3,21
u69,5,8,0,1,8,29
u70,5,5,0,1,10,22
u71,5,9,0,1,7,21
u72,5,10,1,1,7,22
u73,5,5,1,1,7,23
u74,5,7,1,1,4,16
u75,5,4,1,1,10,23
u76,5,4,0,1,4,23
u77,5,1,1,1,4,19
u78,5,3,1,1,4,17
u79,5,10,1,1,7,16
u80,5,1,1,1,2,18
u81,5,6,1,1,7,18
u82,5,6,1,1,7,17
u83,5,7,0,1,2,20
u84,5,3,0,1,5,20
u85,5,3,0,1,2,18
u86,5,6,0,1,4,21
u87,5,1,0,1,3,19
u88,5,10,0,1,6,23
u89,5,2,0,1,5,19
u90,5,6,0,1,9,20
u91,5,1,1,1,2,23
u92,5,10,0,1,10,20
u93,5,10,0,1,6,18
u94,5,6,0,1,9,21
u95,5,4,0,1,5,21
u96,5,5,0,1,1,22
u97,5,5,1,1,7,21
u98,5,8,1,1,2,23
u99,5,7,1,1,5,22
u100,5,7,1,1,7,23
u1,6,7,1,1,8,23
u2,6,7,0,2,5,58
u3,6,7,1,0,6,84
u4,6,8,1,0,8,47
u5,6,4,1,1,6,16
u6,6,5,1,1,1,16
u7,6,8,1,1,9,16
u8,6,9,1,1,4,15
u9,6,7,0,1,5,15
u10,6,4,0,1,4,16
u11,6,6,0,1,9,16
u12,6,9,0,1,7,16
u13,6,9,0,1,8,16
u14,6,8,0,1,2,16
u15,6,8,1,1,6,17
u16,6,10,1,1,5,15
u17,6,10,1,1,2,15
u18,6,7,1,1,2,15
u19,6,7,1,1,4,15
u20,6,2,1,1,2,16
u21,6,3,1,1,7,16
u22,6,6,0,1,6,15
u23,6,5,0,1,4,15
u24,6,7,0,1,5,16
u25,6,8,0,1,10,11
u26,6,9,0,1,8,16
u27,6,8,0,1,9,20
u28,6,8,1,1,9,18
u29,6,8,0,1,8,20
u30,6,6,0,1,7,20
u31,6,7,0,1,9,20
u32,6,4,0,1,7,18
u33,6,5,1,1,10,18
u34,6,6,1,1,5,15
u35,6,6,0,1,8,13
u36,6,7,0,1,8,8
u37,6,5,0,1,9,10
u38,6,8,0,1,8,10
u39,6,3,0,1,2,6
u40,6,2,1,2,2,60
u41,6,5,1,2,10,53
u42,6,9,1,0,4,55
u43,6,9,1,0,5,44
u44,6,9,1,2,8,47
u45,6,9,1,2,9,48
u46,6,6,0,2,7,48
u47,6,3,1,0,3,48
u48,6,10,0,2,10,38
u49,6,8,1,0,8,35
u50,6,8,1,1,9,32
u51,6,8,1,1,10,30
u52,6,7,1,0,7,26
u53,6,8,1,1,8,24
u54,6,9,0,1,8,24
u55,6,8,0,1,8,27
u56,6,9,1,1,8,27
u57,6,7,1,1,9,24
u58,6,7,1,1,5,22
u59,6,6,0,2,8,29
u60,6,9,0,1,9,23
u61,6,8,0,1,8,21
u62,6,6,0,1,6,22
u63,6,10,0,1,7,22
u64,6,5,0,1,5,21
u65,6,7,0,1,5,22
u66,6,8,0,1,8,24
u67,6,9,0,1,6,25
u68,6,3,0,1,4,21
u69,6,9,0,1,7,29
u70,6,9,0,1,9,22
u71,6,9,0,1,9,21
u72,6,9,1,1,8,22
u73,6,6,1,1,7,23
u74,6,5,1,1,2,16
u75,6,5,1,1,2,23
u76,6,6,0,1,5,23
u77,6,3,1,1,1,19
u78,6,10,1,1,3,17
u79,6,10,1,1,3,16
u80,6,6,1,1,4,18
u81,6,3,1,1,6,18
u82,6,8,1,1,3,17
u83,6,5,0,1,4,20
u84,6,7,0,1,2,20
u85,6,1,0,1,8,18
u86,6,10,0,1,8,21
u87,6,2,0,1,5,19
u88,6,9,0,1,7,23
u89,6,2,0,1,5,19
u90,6,4,0,1,4,20
u91,6,3,1,1,3,23
u92,6,8,0,1,6,20
u93,6,10,0,1,4,18
u94,6,10,0,1,3,21
u95,6,3,0,1,4,21
u96,6,7,0,1,3,22
u97,6,4,1,1,9,21
u98,6,8,1,1,2,23
u99,6,7,1,1,6,22
u100,6,9,1,1,6,23
u1,7,3,1,1,10,23
u2,7,6,0,2,6,58
u3,7,7,1,0,5,84
u4,7,8,1,0,5,47
u5,7,5,1,1,8,16
u6,7,6,1,1,2,16
u7,7,3,1,1,1,16
u8,7,4,1,1,1,15
u9,7,8,0,1,2,15
u10,7,2,0,1,4,16
u11,7,7,0,1,8,16
u12,7,7,0,1,9,16
u13,7,8,0,1,9,16
u14,7,6,0,1,4,16
u15,7,6,1,1,9,17
u16,7,5,1,1,2,15
u17,7,6,1,1,10,15
u18,7,8,1,1,4,15
u19,7,1,1,1,2,15
u20,7,3,1,1,4,16
u21,7,1,1,1,5,16
u22,7,7,0,1,5,15
u23,7,4,0,1,3,15
u24,7,6,0,1,4,16
u25,7,8,0,1,9,11
u26,7,7,0,1,7,16
u27,7,9,0,1,8,20
u28,7,7,1,1,8,18
u29,7,7,0,1,8,20
u30,7,5,0,1,8,20
u31,7,7,0,1,9,20
u32,7,4,0,1,5,18
u33,7,6,1,1,8,18
u34,7,8,1,1,6,15
u35,7,7,0,1,5,13
